SystemCodeNumber,Capacity,Occupancy,LastUpdated,occupancy_rate
BHMNCPNHS01,500,279,2016-10-28 13:02:43,0.558
BHMNCPNST01,485,337,2016-10-28 13:02:43,0.6948453608247422
BHMNCPPLS01,450,102,2016-10-28 13:02:43,0.22666666666666666
BHMNCPRAN01,600,386,2016-10-28 13:02:43,0.6433333333333333
Broad Street,690,578,2016-10-28 13:02:43,0.8376811594202899
Bull Ring,3053,2271,2016-10-28 13:02:43,0.7438584998362266
NIA Car Parks,1268,424,2016-10-28 13:02:43,0.334384858044164
NIA South,788,432,2016-10-28 13:02:43,0.5482233502538071
Others-CCCPS105a,2009,1344,2016-10-28 13:02:43,0.6689895470383276
Others-CCCPS119a,2803,851,2016-10-28 13:02:43,0.3036032821976454
Others-CCCPS133,4675,3295,2016-10-28 13:02:43,0.704812834224599
Others-CCCPS135a,3883,2346,2016-10-28 13:02:43,0.6041720319340715
Others-CCCPS202,2937,1235,2016-10-28 13:02:43,0.4204971058903643
Others-CCCPS8,1322,759,2016-10-28 13:02:43,0.5741301059001512
Others-CCCPS98,3103,1453,2016-10-28 13:02:43,0.46825652594263617
Shopping,1920,1102,2016-10-28 13:02:43,0.5739583333333333
BHMBCCMKT01,577,275,2016-10-28 13:29:45,0.47660311958405543
BHMBCCPST01,317,153,2016-10-28 13:29:45,0.48264984227129337
BHMBCCSNH01,863,584,2016-10-28 13:29:45,0.6767091541135574
BHMBCCTHL01,387,325,2016-10-28 13:29:45,0.8397932816537468
BHMBRCBRG01,1010,1009,2016-10-28 13:29:45,0.999009900990099
BHMBRCBRG02,1194,919,2016-10-28 13:29:45,0.7696817420435511
BHMBRCBRG03,849,384,2016-10-28 13:29:45,0.45229681978798586
BHMEURBRD01,470,410,2016-10-28 13:29:45,0.8723404255319149
BHMEURBRD02,220,169,2016-10-28 13:29:45,0.7681818181818182
BHMMBMMBX01,687,600,2016-10-28 13:29:45,0.8733624454148472
BHMNCPHST01,1200,593,2016-10-28 13:29:45,0.49416666666666664
BHMNCPLDH01,720,497,2016-10-28 13:29:45,0.6902777777777778
BHMNCPNHS01,500,275,2016-10-28 13:29:45,0.55
BHMNCPNST01,485,340,2016-10-28 13:29:45,0.7010309278350515
BHMNCPPLS01,450,110,2016-10-28 13:29:45,0.24444444444444444
BHMNCPRAN01,600,372,2016-10-28 13:29:45,0.62
Broad Street,690,579,2016-10-28 13:29:45,0.8391304347826087
Bull Ring,3053,2312,2016-10-28 13:29:45,0.7572879135276777
NIA Car Parks,1268,461,2016-10-28 13:29:45,0.3635646687697161
NIA North,480,6,2016-10-28 13:29:45,0.0125
NIA South,788,455,2016-10-28 13:29:45,0.5774111675126904
Others-CCCPS105a,2009,1375,2016-10-28 13:29:45,0.6844201095072175
Others-CCCPS119a,2803,927,2016-10-28 13:29:45,0.3307170888333928
Others-CCCPS133,4675,3362,2016-10-28 13:29:45,0.7191443850267379
Others-CCCPS135a,3883,2321,2016-10-28 13:29:45,0.5977337110481586
Others-CCCPS202,2937,1242,2016-10-28 13:29:45,0.42288049029622066
Others-CCCPS8,1322,775,2016-10-28 13:29:45,0.586232980332829
Others-CCCPS98,3103,1542,2016-10-28 13:29:45,0.4969384466645182
Shopping,1920,1090,2016-10-28 13:29:45,0.5677083333333334
BHMBCCMKT01,577,296,2016-10-28 14:02:39,0.512998266897747
BHMBCCPST01,317,151,2016-10-28 14:02:39,0.47634069400630913
BHMBCCSNH01,863,570,2016-10-28 14:02:39,0.660486674391657
BHMBCCTHL01,387,332,2016-10-28 14:02:39,0.8578811369509044
BHMBRCBRG01,1010,1009,2016-10-28 14:02:39,0.999009900990099
BHMBRCBRG02,1194,965,2016-10-28 14:02:39,0.8082077051926299
BHMBRCBRG03,849,415,2016-10-28 14:02:39,0.48881036513545345
BHMEURBRD01,470,416,2016-10-28 14:02:39,0.8851063829787233
BHMEURBRD02,220,169,2016-10-28 14:02:39,0.7681818181818182
BHMMBMMBX01,687,593,2016-10-28 14:02:39,0.8631732168850073
BHMNCPHST01,1200,617,2016-10-28 14:02:39,0.5141666666666667
BHMNCPLDH01,720,508,2016-10-28 14:02:39,0.7055555555555556
BHMNCPNHS01,500,272,2016-10-28 14:02:39,0.544
BHMNCPNST01,485,331,2016-10-28 14:02:39,0.6824742268041237
BHMNCPPLS01,450,120,2016-10-28 14:02:39,0.26666666666666666
BHMNCPRAN01,600,379,2016-10-28 14:02:39,0.6316666666666667
Broad Street,690,585,2016-10-28 14:02:39,0.8478260869565217
Bull Ring,3053,2389,2016-10-28 14:02:39,0.7825090075335736
NIA Car Parks,1268,542,2016-10-28 14:02:39,0.4274447949526814
NIA North,480,22,2016-10-28 14:02:39,0.04583333333333333
NIA South,788,520,2016-10-28 14:02:39,0.6598984771573604
Others-CCCPS105a,2009,1376,2016-10-28 14:02:39,0.6849178695868592
Others-CCCPS119a,2803,1120,2016-10-28 14:02:39,0.3995718872636461
Others-CCCPS133,4675,3433,2016-10-28 14:02:39,0.7343315508021391
Others-CCCPS135a,3883,2346,2016-10-28 14:02:39,0.6041720319340715
Others-CCCPS202,2937,1248,2016-10-28 14:02:39,0.424923391215526
Others-CCCPS8,1322,783,2016-10-28 14:02:39,0.5922844175491679
Others-CCCPS98,3103,1712,2016-10-28 14:02:39,0.5517241379310345
Shopping,1920,1125,2016-10-28 14:02:39,0.5859375
BHMBCCMKT01,577,290,2016-10-28 14:29:45,0.5025996533795494
BHMBCCPST01,317,153,2016-10-28 14:29:45,0.48264984227129337
BHMBCCSNH01,863,550,2016-10-28 14:29:45,0.6373117033603708
BHMBCCTHL01,387,335,2016-10-28 14:29:45,0.8656330749354005
BHMBRCBRG01,1010,1009,2016-10-28 14:29:45,0.999009900990099
BHMBRCBRG02,1194,983,2016-10-28 14:29:45,0.8232830820770519
BHMBRCBRG03,849,412,2016-10-28 14:29:45,0.48527679623085984
BHMEURBRD01,470,414,2016-10-28 14:29:45,0.8808510638297873
BHMEURBRD02,220,167,2016-10-28 14:29:45,0.759090909090909
BHMMBMMBX01,687,584,2016-10-28 14:29:45,0.8500727802037845
BHMNCPHST01,1200,631,2016-10-28 14:29:45,0.5258333333333334
BHMNCPLDH01,720,495,2016-10-28 14:29:45,0.6875
BHMNCPNHS01,500,267,2016-10-28 14:29:45,0.534
BHMNCPNST01,485,332,2016-10-28 14:29:45,0.6845360824742268
BHMNCPPLS01,450,127,2016-10-28 14:29:45,0.2822222222222222
BHMNCPRAN01,600,381,2016-10-28 14:29:45,0.635
Broad Street,690,581,2016-10-28 14:29:45,0.8420289855072464
Bull Ring,3053,2404,2016-10-28 14:29:45,0.7874222076645923
NIA North,480,27,2016-10-28 14:29:45,0.05625
NIA South,788,524,2016-10-28 14:29:45,0.6649746192893401
Others-CCCPS105a,2009,1378,2016-10-28 14:29:45,0.6859133897461424
Others-CCCPS119a,2803,1191,2016-10-28 14:29:45,0.42490189083125224
Others-CCCPS133,4675,3447,2016-10-28 14:29:45,0.7373262032085561
Others-CCCPS135a,3883,2324,2016-10-28 14:29:45,0.5985063095544682
Others-CCCPS202,2937,1249,2016-10-28 14:29:45,0.42526387470207694
Others-CCCPS8,1322,794,2016-10-28 14:29:45,0.6006051437216339
Others-CCCPS98,3103,1772,2016-10-28 14:29:45,0.5710602642603931
Shopping,1920,1126,2016-10-28 14:29:45,0.5864583333333333
BHMNCPNHS01,500,256,2016-10-28 14:56:45,0.512
BHMBCCMKT01,577,282,2016-10-28 15:02:43,0.48873483535528595
BHMBCCPST01,317,149,2016-10-28 15:02:43,0.47003154574132494
BHMBCCSNH01,863,521,2016-10-28 15:02:43,0.6037079953650057
BHMBCCTHL01,387,337,2016-10-28 15:02:43,0.8708010335917312
BHMBRCBRG02,1194,927,2016-10-28 15:02:43,0.7763819095477387
BHMBRCBRG03,849,391,2016-10-28 15:02:43,0.46054181389870436
BHMEURBRD01,470,398,2016-10-28 15:02:43,0.8468085106382979
BHMEURBRD02,220,169,2016-10-28 15:02:43,0.7681818181818182
BHMMBMMBX01,687,583,2016-10-28 15:02:43,0.8486171761280932
BHMNCPHST01,1200,634,2016-10-28 15:02:43,0.5283333333333333
BHMNCPLDH01,720,477,2016-10-28 15:02:43,0.6625
BHMNCPNST01,485,322,2016-10-28 15:02:43,0.6639175257731958
BHMNCPPLS01,450,123,2016-10-28 15:02:43,0.2733333333333333
BHMNCPRAN01,600,364,2016-10-28 15:02:43,0.6066666666666667
Broad Street,690,567,2016-10-28 15:02:43,0.8217391304347826
Bull Ring,3053,2329,2016-10-28 15:02:43,0.7628562070094989
NIA Car Parks,1268,500,2016-10-28 15:02:43,0.3943217665615142
NIA North,480,12,2016-10-28 15:02:43,0.025
NIA South,788,488,2016-10-28 15:02:43,0.6192893401015228
Others-CCCPS105a,2009,1365,2016-10-28 15:02:43,0.6794425087108014
Others-CCCPS119a,2803,1147,2016-10-28 15:02:43,0.409204423831609
Others-CCCPS133,4675,3357,2016-10-28 15:02:43,0.7180748663101604
Others-CCCPS135a,3883,2248,2016-10-28 15:02:43,0.5789338140612929
Others-CCCPS202,2937,1226,2016-10-28 15:02:43,0.4174327545114062
Others-CCCPS8,1322,782,2016-10-28 15:02:43,0.5915279878971256
Others-CCCPS98,3103,1715,2016-10-28 15:02:43,0.5526909442475024
Shopping,1920,1111,2016-10-28 15:02:43,0.5786458333333333
BHMBCCMKT01,577,269,2016-10-28 15:29:41,0.4662045060658579
BHMBCCPST01,317,148,2016-10-28 15:29:41,0.4668769716088328
BHMBCCSNH01,863,490,2016-10-28 15:29:41,0.5677867902665121
BHMBCCTHL01,387,318,2016-10-28 15:29:41,0.8217054263565892
BHMBRCBRG01,1010,1010,2016-10-28 15:29:41,1.0
BHMBRCBRG02,1194,888,2016-10-28 15:29:41,0.7437185929648241
BHMBRCBRG03,849,362,2016-10-28 15:29:41,0.42638398115429915
BHMEURBRD01,470,385,2016-10-28 15:29:41,0.8191489361702128
BHMEURBRD02,220,167,2016-10-28 15:29:41,0.759090909090909
BHMMBMMBX01,687,550,2016-10-28 15:29:41,0.8005822416302766
BHMNCPHST01,1200,588,2016-10-28 15:29:41,0.49
BHMNCPLDH01,720,464,2016-10-28 15:29:41,0.6444444444444445
BHMNCPNHS01,500,238,2016-10-28 15:29:41,0.476
BHMNCPNST01,485,310,2016-10-28 15:29:41,0.6391752577319587
BHMNCPPLS01,450,101,2016-10-28 15:29:41,0.22444444444444445
BHMNCPRAN01,600,347,2016-10-28 15:29:41,0.5783333333333334
Broad Street,690,552,2016-10-28 15:29:41,0.8
Bull Ring,3053,2260,2016-10-28 15:29:41,0.7402554864068129
NIA Car Parks,1268,464,2016-10-28 15:29:41,0.3659305993690852
NIA South,788,465,2016-10-28 15:29:41,0.5901015228426396
Others-CCCPS105a,2009,1279,2016-10-28 15:29:41,0.6366351418616227
Others-CCCPS119a,2803,1086,2016-10-28 15:29:41,0.3874420264002854
Others-CCCPS133,4675,3221,2016-10-28 15:29:41,0.6889839572192513
Others-CCCPS135a,3883,2127,2016-10-28 15:29:41,0.5477723409734742
Others-CCCPS202,2937,1181,2016-10-28 15:29:41,0.4021109976166156
Others-CCCPS8,1322,729,2016-10-28 15:29:41,0.5514372163388804
Others-CCCPS98,3103,1628,2016-10-28 15:29:41,0.5246535610699323
Shopping,1920,1052,2016-10-28 15:29:41,0.5479166666666667
BHMNCPNHS01,500,225,2016-10-28 15:56:42,0.45
BHMBCCMKT01,577,256,2016-10-28 16:02:40,0.4436741767764298
BHMBCCPST01,317,137,2016-10-28 16:02:40,0.43217665615141954
BHMBCCSNH01,863,436,2016-10-28 16:02:40,0.5052143684820394
BHMBCCTHL01,387,301,2016-10-28 16:02:40,0.7777777777777778
BHMBRCBRG01,1010,964,2016-10-28 16:02:40,0.9544554455445544
BHMBRCBRG02,1194,803,2016-10-28 16:02:40,0.6725293132328308
BHMBRCBRG03,849,336,2016-10-28 16:02:40,0.3957597173144876
BHMEURBRD01,470,368,2016-10-28 16:02:40,0.7829787234042553
BHMEURBRD02,220,157,2016-10-28 16:02:40,0.7136363636363636
BHMMBMMBX01,687,513,2016-10-28 16:02:40,0.7467248908296943
BHMNCPHST01,1200,548,2016-10-28 16:02:40,0.45666666666666667
BHMNCPLDH01,720,430,2016-10-28 16:02:40,0.5972222222222222
BHMNCPNST01,485,301,2016-10-28 16:02:40,0.6206185567010309
BHMNCPPLS01,450,85,2016-10-28 16:02:40,0.18888888888888888
BHMNCPRAN01,600,325,2016-10-28 16:02:40,0.5416666666666666
Broad Street,690,525,2016-10-28 16:02:40,0.7608695652173914
Bull Ring,3053,2103,2016-10-28 16:02:40,0.6888306583688175
NIA Car Parks,1268,426,2016-10-28 16:02:40,0.3359621451104101
NIA South,788,430,2016-10-28 16:02:40,0.5456852791878173
Others-CCCPS105a,2009,1200,2016-10-28 16:02:40,0.5973120955699353
Others-CCCPS119a,2803,1023,2016-10-28 16:02:40,0.3649661077417053
Others-CCCPS133,4675,3002,2016-10-28 16:02:40,0.642139037433155
Others-CCCPS135a,3883,1962,2016-10-28 16:02:40,0.5052794231264486
Others-CCCPS202,2937,1127,2016-10-28 16:02:40,0.38372488934286686
Others-CCCPS8,1322,687,2016-10-28 16:02:40,0.5196671709531013
Others-CCCPS98,3103,1536,2016-10-28 16:02:40,0.49500483403158235
Shopping,1920,978,2016-10-28 16:02:40,0.509375
BHMBCCMKT01,577,220,2016-10-28 16:29:42,0.38128249566724437
BHMBCCPST01,317,144,2016-10-28 16:29:42,0.45425867507886436
BHMBCCSNH01,863,390,2016-10-28 16:29:42,0.4519119351100811
BHMBCCTHL01,387,276,2016-10-28 16:29:42,0.7131782945736435
BHMBRCBRG01,1010,921,2016-10-28 16:29:42,0.9118811881188119
BHMBRCBRG02,1194,743,2016-10-28 16:29:42,0.6222780569514238
BHMBRCBRG03,849,301,2016-10-28 16:29:42,0.3545347467608952
BHMEURBRD01,470,337,2016-10-28 16:29:42,0.7170212765957447
BHMEURBRD02,220,143,2016-10-28 16:29:42,0.65
BHMMBMMBX01,687,481,2016-10-28 16:29:42,0.7001455604075691
BHMNCPHST01,1200,475,2016-10-28 16:29:42,0.3958333333333333
BHMNCPLDH01,720,390,2016-10-28 16:29:42,0.5416666666666666
BHMNCPNHS01,500,201,2016-10-28 16:29:42,0.402
BHMNCPNST01,485,290,2016-10-28 16:29:42,0.5979381443298969
BHMNCPPLS01,450,66,2016-10-28 16:29:42,0.14666666666666667
BHMNCPRAN01,600,296,2016-10-28 16:29:42,0.49333333333333335
Broad Street,690,480,2016-10-28 16:29:42,0.6956521739130435
Bull Ring,3053,1965,2016-10-28 16:29:42,0.6436292171634458
NIA Car Parks,1268,396,2016-10-28 16:29:42,0.31230283911671924
NIA South,788,397,2016-10-28 16:29:42,0.5038071065989848
Others-CCCPS105a,2009,1113,2016-10-28 16:29:42,0.554006968641115
Others-CCCPS119a,2803,963,2016-10-28 16:29:42,0.34356047092401
Others-CCCPS133,4675,2802,2016-10-28 16:29:42,0.5993582887700535
Others-CCCPS135a,3883,1752,2016-10-28 16:29:42,0.45119752768477983
Others-CCCPS202,2937,1049,2016-10-28 16:29:42,0.3571671773918965
Others-CCCPS8,1322,632,2016-10-28 16:29:42,0.47806354009077157
Others-CCCPS98,3103,1458,2016-10-28 16:29:42,0.46986786980341605
Shopping,1920,865,2016-10-28 16:29:42,0.4505208333333333
BHMBRCBRG02,1194,41,2016-10-29 07:39:45,0.03433835845896147
BHMBCCMKT01,577,51,2016-10-29 07:59:48,0.08838821490467938
BHMBCCPST01,317,60,2016-10-29 07:59:48,0.1892744479495268
BHMBCCSNH01,863,121,2016-10-29 07:59:48,0.14020857473928158
BHMBCCTHL01,387,79,2016-10-29 07:59:48,0.2041343669250646
BHMBRCBRG01,1010,265,2016-10-29 07:59:48,0.2623762376237624
BHMBRCBRG03,849,50,2016-10-29 07:59:48,0.05889281507656066
BHMEURBRD01,470,41,2016-10-29 07:59:48,0.08723404255319149
BHMEURBRD02,220,38,2016-10-29 07:59:48,0.17272727272727273
BHMMBMMBX01,687,316,2016-10-29 07:59:48,0.45997088791848617
BHMNCPHST01,1200,102,2016-10-29 07:59:48,0.085
BHMNCPLDH01,720,156,2016-10-29 07:59:48,0.21666666666666667
BHMNCPNST01,485,267,2016-10-29 07:59:48,0.5505154639175258
Broad Street,690,79,2016-10-29 07:59:48,0.1144927536231884
Bull Ring,3053,356,2016-10-29 07:59:48,0.1166066164428431
NIA Car Parks,1268,17,2016-10-29 07:59:48,0.013406940063091483
NIA North,480,2,2016-10-29 07:59:48,0.004166666666666667
NIA South,788,15,2016-10-29 07:59:48,0.01903553299492386
Others-CCCPS105a,2009,667,2016-10-29 07:59:48,0.3320059731209557
Others-CCCPS119a,2803,98,2016-10-29 07:59:48,0.034962540135569035
Others-CCCPS133,4675,944,2016-10-29 07:59:48,0.20192513368983958
Others-CCCPS135a,3883,507,2016-10-29 07:59:48,0.1305691475663147
Others-CCCPS202,2937,425,2016-10-29 07:59:48,0.14470548178413348
Others-CCCPS8,1322,351,2016-10-29 07:59:48,0.26550680786686837
Others-CCCPS98,3103,602,2016-10-29 07:59:48,0.1940058008378988
Shopping,1920,258,2016-10-29 07:59:48,0.134375
BHMNCPPLS01,450,4,2016-10-29 08:19:51,0.008888888888888889
BHMBCCMKT01,577,56,2016-10-29 08:26:46,0.09705372616984402
BHMBCCPST01,317,71,2016-10-29 08:26:46,0.22397476340694006
BHMBCCSNH01,863,128,2016-10-29 08:26:46,0.14831981460023175
BHMBCCTHL01,387,77,2016-10-29 08:26:46,0.19896640826873385
BHMBRCBRG01,1010,275,2016-10-29 08:26:46,0.2722772277227723
BHMBRCBRG02,1194,50,2016-10-29 08:26:46,0.04187604690117253
BHMBRCBRG03,849,66,2016-10-29 08:26:46,0.07773851590106007
BHMEURBRD01,470,46,2016-10-29 08:26:46,0.09787234042553192
BHMEURBRD02,220,38,2016-10-29 08:26:46,0.17272727272727273
BHMMBMMBX01,687,323,2016-10-29 08:26:46,0.47016011644832606
BHMNCPHST01,1200,108,2016-10-29 08:26:46,0.09
BHMNCPLDH01,720,170,2016-10-29 08:26:46,0.2361111111111111
BHMNCPNST01,485,270,2016-10-29 08:26:46,0.5567010309278351
Broad Street,690,84,2016-10-29 08:26:46,0.12173913043478261
Bull Ring,3053,391,2016-10-29 08:26:46,0.12807075008188668
NIA Car Parks,1268,28,2016-10-29 08:26:46,0.022082018927444796
NIA North,480,0,2016-10-29 08:26:46,0.0
NIA South,788,28,2016-10-29 08:26:46,0.03553299492385787
Others-CCCPS105a,2009,674,2016-10-29 08:26:46,0.335490293678447
Others-CCCPS119a,2803,109,2016-10-29 08:26:46,0.03888690688547984
Others-CCCPS133,4675,988,2016-10-29 08:26:46,0.21133689839572192
Others-CCCPS135a,3883,544,2016-10-29 08:26:46,0.1400978624774659
Others-CCCPS202,2937,431,2016-10-29 08:26:46,0.14674838270343887
Others-CCCPS8,1322,351,2016-10-29 08:26:46,0.26550680786686837
Others-CCCPS98,3103,625,2016-10-29 08:26:46,0.2014179825974863
Shopping,1920,278,2016-10-29 08:26:46,0.14479166666666668
BHMBCCMKT01,577,66,2016-10-29 08:59:48,0.11438474870017332
BHMBCCPST01,317,82,2016-10-29 08:59:48,0.2586750788643533
BHMBCCSNH01,863,153,2016-10-29 08:59:48,0.1772885283893395
BHMBCCTHL01,387,95,2016-10-29 08:59:48,0.2454780361757106
BHMBRCBRG01,1010,320,2016-10-29 08:59:48,0.31683168316831684
BHMBRCBRG02,1194,85,2016-10-29 08:59:48,0.0711892797319933
BHMBRCBRG03,849,98,2016-10-29 08:59:48,0.1154299175500589
BHMEURBRD01,470,54,2016-10-29 08:59:48,0.1148936170212766
BHMEURBRD02,220,44,2016-10-29 08:59:48,0.2
BHMMBMMBX01,687,334,2016-10-29 08:59:48,0.4861717612809316
BHMNCPHST01,1200,140,2016-10-29 08:59:48,0.11666666666666667
BHMNCPLDH01,720,203,2016-10-29 08:59:48,0.28194444444444444
BHMNCPNST01,485,283,2016-10-29 08:59:48,0.5835051546391753
BHMNCPPLS01,450,10,2016-10-29 08:59:48,0.022222222222222223
Broad Street,690,98,2016-10-29 08:59:48,0.14202898550724638
Bull Ring,3053,503,2016-10-29 08:59:48,0.16475597772682607
NIA Car Parks,1268,67,2016-10-29 08:59:48,0.0528391167192429
NIA North,480,0,2016-10-29 08:59:48,0.0
NIA South,788,67,2016-10-29 08:59:48,0.0850253807106599
Others-CCCPS105a,2009,722,2016-10-29 08:59:48,0.3593827775012444
Others-CCCPS119a,2803,171,2016-10-29 08:59:48,0.06100606493043168
Others-CCCPS133,4675,1130,2016-10-29 08:59:48,0.24171122994652405
Others-CCCPS135a,3883,642,2016-10-29 08:59:48,0.16533608035024466
Others-CCCPS202,2937,476,2016-10-29 08:59:48,0.1620701395982295
Others-CCCPS8,1322,388,2016-10-29 08:59:48,0.2934947049924357
Others-CCCPS98,3103,693,2016-10-29 08:59:48,0.22333225910409282
Shopping,1920,343,2016-10-29 08:59:48,0.17864583333333334
BHMBCCMKT01,577,91,2016-10-29 09:26:50,0.15771230502599654
BHMBCCPST01,317,84,2016-10-29 09:26:50,0.26498422712933756
BHMBCCSNH01,863,169,2016-10-29 09:26:50,0.19582850521436848
BHMBCCTHL01,387,120,2016-10-29 09:26:50,0.31007751937984496
BHMBRCBRG01,1010,443,2016-10-29 09:26:50,0.4386138613861386
BHMBRCBRG02,1194,143,2016-10-29 09:26:50,0.11976549413735343
BHMBRCBRG03,849,148,2016-10-29 09:26:50,0.17432273262661954
BHMEURBRD01,470,57,2016-10-29 09:26:50,0.12127659574468085
BHMEURBRD02,220,47,2016-10-29 09:26:50,0.21363636363636362
BHMMBMMBX01,687,350,2016-10-29 09:26:50,0.5094614264919942
BHMNCPHST01,1200,169,2016-10-29 09:26:50,0.14083333333333334
BHMNCPLDH01,720,214,2016-10-29 09:26:50,0.2972222222222222
BHMNCPNST01,485,287,2016-10-29 09:26:50,0.5917525773195876
BHMNCPPLS01,450,17,2016-10-29 09:26:50,0.03777777777777778
Broad Street,690,104,2016-10-29 09:26:50,0.15072463768115943
Bull Ring,3053,734,2016-10-29 09:26:50,0.24041925974451359
NIA Car Parks,1268,175,2016-10-29 09:26:50,0.13801261829652997
NIA North,480,20,2016-10-29 09:26:50,0.041666666666666664
NIA South,788,155,2016-10-29 09:26:50,0.1967005076142132
Others-CCCPS105a,2009,774,2016-10-29 09:26:50,0.3852663016426083
Others-CCCPS119a,2803,313,2016-10-29 09:26:50,0.11166607206564395
Others-CCCPS133,4675,1388,2016-10-29 09:26:50,0.2968983957219251
Others-CCCPS135a,3883,702,2016-10-29 09:26:50,0.18078805047643576
Others-CCCPS202,2937,511,2016-10-29 09:26:50,0.17398706162751107
Others-CCCPS8,1322,424,2016-10-29 09:26:50,0.3207261724659607
Others-CCCPS98,3103,830,2016-10-29 09:26:50,0.2674830808894618
Shopping,1920,383,2016-10-29 09:26:50,0.19947916666666668
BHMBCCMKT01,577,124,2016-10-29 09:59:51,0.21490467937608318
BHMBCCPST01,317,103,2016-10-29 09:59:51,0.3249211356466877
BHMBCCSNH01,863,234,2016-10-29 09:59:51,0.2711471610660487
BHMBCCTHL01,387,165,2016-10-29 09:59:51,0.4263565891472868
BHMBRCBRG01,1010,596,2016-10-29 09:59:51,0.5900990099009901
BHMBRCBRG02,1194,254,2016-10-29 09:59:51,0.21273031825795644
BHMBRCBRG03,849,184,2016-10-29 09:59:51,0.21672555948174324
BHMEURBRD01,470,71,2016-10-29 09:59:51,0.15106382978723404
BHMEURBRD02,220,48,2016-10-29 09:59:51,0.21818181818181817
BHMMBMMBX01,687,373,2016-10-29 09:59:51,0.5429403202328966
BHMNCPHST01,1200,186,2016-10-29 09:59:51,0.155
BHMNCPLDH01,720,254,2016-10-29 09:59:51,0.3527777777777778
BHMNCPNST01,485,289,2016-10-29 09:59:51,0.5958762886597938
BHMNCPPLS01,450,30,2016-10-29 09:59:51,0.06666666666666667
Broad Street,690,119,2016-10-29 09:59:51,0.17246376811594202
Bull Ring,3053,1034,2016-10-29 09:59:51,0.338683262364887
NIA Car Parks,1268,417,2016-10-29 09:59:51,0.32886435331230285
NIA North,480,92,2016-10-29 09:59:51,0.19166666666666668
NIA South,788,325,2016-10-29 09:59:51,0.41243654822335024
Others-CCCPS105a,2009,857,2016-10-29 09:59:51,0.4265803882528621
Others-CCCPS119a,2803,622,2016-10-29 09:59:51,0.22190510167677488
Others-CCCPS133,4675,1726,2016-10-29 09:59:51,0.36919786096256685
Others-CCCPS135a,3883,833,2016-10-29 09:59:51,0.2145248519186196
Others-CCCPS202,2937,573,2016-10-29 09:59:51,0.195097037793667
Others-CCCPS8,1322,484,2016-10-29 09:59:51,0.3661119515885023
Others-CCCPS98,3103,1119,2016-10-29 09:59:51,0.36061875604253946
Shopping,1920,440,2016-10-29 09:59:51,0.22916666666666666
BHMBCCMKT01,577,164,2016-10-29 10:26:49,0.28422876949740034
BHMBCCPST01,317,121,2016-10-29 10:26:49,0.38170347003154576
BHMBCCSNH01,863,276,2016-10-29 10:26:49,0.31981460023174973
BHMBCCTHL01,387,214,2016-10-29 10:26:49,0.5529715762273901
BHMBRCBRG01,1010,754,2016-10-29 10:26:49,0.7465346534653465
BHMBRCBRG02,1194,343,2016-10-29 10:26:49,0.28726968174204354
BHMBRCBRG03,849,198,2016-10-29 10:26:49,0.2332155477031802
BHMEURBRD01,470,79,2016-10-29 10:26:49,0.16808510638297872
BHMEURBRD02,220,48,2016-10-29 10:26:49,0.21818181818181817
BHMMBMMBX01,687,395,2016-10-29 10:26:49,0.5749636098981077
BHMNCPHST01,1200,207,2016-10-29 10:26:49,0.1725
BHMNCPLDH01,720,294,2016-10-29 10:26:49,0.4083333333333333
BHMNCPNST01,485,298,2016-10-29 10:26:49,0.6144329896907217
BHMNCPPLS01,450,49,2016-10-29 10:26:49,0.10888888888888888
Broad Street,690,127,2016-10-29 10:26:49,0.18405797101449275
Bull Ring,3053,1295,2016-10-29 10:26:49,0.42417294464461186
NIA Car Parks,1268,542,2016-10-29 10:26:49,0.4274447949526814
NIA North,480,113,2016-10-29 10:26:49,0.23541666666666666
NIA South,788,429,2016-10-29 10:26:49,0.5444162436548223
Others-CCCPS105a,2009,956,2016-10-29 10:26:49,0.4758586361373818
Others-CCCPS119a,2803,800,2016-10-29 10:26:49,0.28540849090260434
Others-CCCPS133,4675,2037,2016-10-29 10:26:49,0.43572192513368985
Others-CCCPS135a,3883,936,2016-10-29 10:26:49,0.24105073396858098
Others-CCCPS202,2937,639,2016-10-29 10:26:49,0.21756894790602654
Others-CCCPS8,1322,561,2016-10-29 10:26:49,0.424357034795764
Others-CCCPS98,3103,1279,2016-10-29 10:26:49,0.412181759587496
Shopping,1920,501,2016-10-29 10:26:49,0.2609375
BHMBCCMKT01,577,213,2016-10-29 10:59:46,0.36915077989601386
BHMBCCPST01,317,129,2016-10-29 10:59:46,0.4069400630914827
BHMBCCSNH01,863,329,2016-10-29 10:59:46,0.38122827346465815
BHMBCCTHL01,387,277,2016-10-29 10:59:46,0.7157622739018088
BHMBRCBRG01,1010,939,2016-10-29 10:59:46,0.9297029702970298
BHMBRCBRG02,1194,433,2016-10-29 10:59:46,0.3626465661641541
BHMBRCBRG03,849,234,2016-10-29 10:59:46,0.2756183745583039
BHMEURBRD01,470,98,2016-10-29 10:59:46,0.20851063829787234
BHMEURBRD02,220,48,2016-10-29 10:59:46,0.21818181818181817
BHMMBMMBX01,687,402,2016-10-29 10:59:46,0.5851528384279476
BHMNCPHST01,1200,252,2016-10-29 10:59:46,0.21
BHMNCPLDH01,720,334,2016-10-29 10:59:46,0.4638888888888889
BHMNCPNST01,485,296,2016-10-29 10:59:46,0.6103092783505155
